销售日期,扫码销售时间,单品编码,销量(千克),销售单价(元/千克),销售类型,是否打折销售
2023-06-24 00:00:00,09:34:51.604,102900005115823,0.251,8,销售,否
2023-06-24 00:00:00,09:35:49.547,102900005119975,0.285,6,销售,否
2023-06-24 00:00:00,09:35:49.932,102900005119975,0.269,6,销售,否
2023-06-24 00:00:00,09:35:50.83,102900005116714,0.394,14,销售,否
2023-06-24 00:00:00,09:35:56.265,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,09:36:26.589,102900005115823,0.465,8,销售,否
2023-06-24 00:00:00,09:36:38.061,102900005115908,0.453,6,销售,否
2023-06-24 00:00:00,09:36:38.967,102900005115823,0.528,8,销售,否
2023-06-24 00:00:00,09:37:49.951,102900011016701,0.291,5.2,销售,否
2023-06-24 00:00:00,09:38:01.342,102900005115823,0.578,8,销售,否
2023-06-24 00:00:00,09:39:03.842,102900005115786,0.227,4,销售,否
2023-06-24 00:00:00,09:39:47.707,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,09:40:43.602,102900005115908,0.47,6,销售,否
2023-06-24 00:00:00,09:40:58.014,102900005115762,0.505,4,销售,否
2023-06-24 00:00:00,09:41:17.733,102900011016701,0.407,5.2,销售,否
2023-06-24 00:00:00,09:41:39.061,102900005118831,1,4.1,销售,是
2023-06-24 00:00:00,09:43:12.03,102900005115823,0.176,8,销售,否
2023-06-24 00:00:00,09:43:12.186,102900005115908,0.252,6,销售,否
2023-06-24 00:00:00,09:43:46.597,102900011016701,0.291,5.2,销售,否
2023-06-24 00:00:00,09:43:49.201,102900005115762,0.606,4,销售,否
2023-06-24 00:00:00,09:43:53.564,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,09:44:37.217,102900005116257,0.285,6,销售,否
2023-06-24 00:00:00,09:44:41.78,102900011031926,1,3.8,销售,否
2023-06-24 00:00:00,09:45:02.749,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,09:45:03.16,102900005119975,0.252,6,销售,否
2023-06-24 00:00:00,09:45:03.375,102900011006948,0.443,12,销售,否
2023-06-24 00:00:00,09:45:04.035,102900005115786,0.354,4,销售,否
2023-06-24 00:00:00,09:45:49.248,102900051000463,0.452,8,销售,否
2023-06-24 00:00:00,09:45:50.78,102900005115786,0.303,4,销售,否
2023-06-24 00:00:00,09:45:59.18,102900011022764,0.151,12,销售,否
2023-06-24 00:00:00,09:47:21.768,102900005115786,0.278,4,销售,否
2023-06-24 00:00:00,09:48:16.016,102900005115786,0.253,4,销售,否
2023-06-24 00:00:00,09:49:10.719,102900005115250,0.2,24,销售,否
2023-06-24 00:00:00,09:50:08.686,106949711300259,1,2,销售,否
2023-06-24 00:00:00,09:50:24.628,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,09:50:25.653,102900005116257,0.856,6,销售,否
2023-06-24 00:00:00,09:52:20.069,102900005116714,0.38,14,销售,否
2023-06-24 00:00:00,09:52:20.494,102900005115786,0.328,4,销售,否
2023-06-24 00:00:00,09:53:06.095,102900005115786,0.303,4,销售,否
2023-06-24 00:00:00,09:53:06.29,102900011016701,0.504,5.2,销售,否
2023-06-24 00:00:00,09:53:45.744,102900011016701,0.271,5.2,销售,否
2023-06-24 00:00:00,09:53:46.138,102900011023464,0.407,5.2,销售,否
2023-06-24 00:00:00,09:55:47.795,102900011016701,1.008,5.2,销售,否
2023-06-24 00:00:00,09:55:58.545,102900005115786,0.379,4,销售,否
2023-06-24 00:00:00,09:56:05.326,102900011035078,0.255,20,销售,否
2023-06-24 00:00:00,09:56:17.855,102900005115762,0.53,4,销售,否
2023-06-24 00:00:00,09:56:18.547,102900005115946,0.336,6,销售,否
2023-06-24 00:00:00,09:57:13.639,102900011034330,1,5.5,销售,否
2023-06-24 00:00:00,09:58:08.966,102900005118824,0.432,16,销售,否
2023-06-24 00:00:00,09:58:15.217,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,10:00:20.278,102900005115762,0.606,4,销售,否
2023-06-24 00:00:00,10:00:36.436,102900051000944,0.593,26,销售,否
2023-06-24 00:00:00,10:02:49.534,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,10:03:46.842,102900011022764,0.334,12,销售,否
2023-06-24 00:00:00,10:03:48.592,102900011016701,0.233,5.2,销售,否
2023-06-24 00:00:00,10:04:17.535,102900005115786,0.354,4,销售,否
2023-06-24 00:00:00,10:04:17.988,102900005116899,0.483,16,销售,否
2023-06-24 00:00:00,10:04:56.109,102900005116509,0.47,6,销售,否
2023-06-24 00:00:00,10:04:56.31,102900005115762,0.556,4,销售,否
2023-06-24 00:00:00,10:05:35.97,102900005116714,0.365,14,销售,否
2023-06-24 00:00:00,10:05:36.801,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,10:05:36.984,102900005118824,0.251,16,销售,否
2023-06-24 00:00:00,10:05:38.531,102900005119975,0.218,6,销售,否
2023-06-24 00:00:00,10:05:38.965,102900011032251,1,3.9,销售,否
2023-06-24 00:00:00,10:05:39.146,102900005116257,0.503,6,销售,否
2023-06-24 00:00:00,10:07:04.592,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,10:07:32.09,102900011016701,0.155,5.2,销售,否
2023-06-24 00:00:00,10:08:29.73,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,10:09:38.233,102900011000328,0.462,10,销售,否
2023-06-24 00:00:00,10:10:59.42,102900011016701,0.388,5.2,销售,否
2023-06-24 00:00:00,10:11:22.42,102900005116509,0.52,6,销售,否
2023-06-24 00:00:00,10:11:30.777,102900005115762,0.985,4,销售,否
2023-06-24 00:00:00,10:14:16.725,102900011016701,0.407,5.2,销售,否
2023-06-24 00:00:00,10:15:19.019,102900005116257,0.52,6,销售,否
2023-06-24 00:00:00,10:15:56.026,102900051000944,0.197,26,销售,否
2023-06-24 00:00:00,10:16:51.014,102900011022764,0.326,12,销售,否
2023-06-24 00:00:00,10:16:58.257,102900011034330,1,5.5,销售,否
2023-06-24 00:00:00,10:17:21.606,102900005115786,0.429,4,销售,否
2023-06-24 00:00:00,10:17:54.324,102900011016701,0.33,5.2,销售,否
2023-06-24 00:00:00,10:17:54.528,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,10:18:44.358,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,10:20:07.149,102900005115762,0.455,4,销售,否
2023-06-24 00:00:00,10:20:08.025,102900005116509,0.873,6,销售,否
2023-06-24 00:00:00,10:20:09.044,102900011000328,0.351,10,销售,否
2023-06-24 00:00:00,10:21:07.233,102900011008164,0.31,5.2,销售,否
2023-06-24 00:00:00,10:21:10.811,102900005116257,0.235,6,销售,否
2023-06-24 00:00:00,10:21:12.389,102900011016701,0.233,5.2,销售,否
2023-06-24 00:00:00,10:21:27.811,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,10:22:53.623,102900011000328,0.552,10,销售,否
2023-06-24 00:00:00,10:23:13.264,102900005118817,0.358,14,销售,否
2023-06-24 00:00:00,10:23:27.921,102900005118817,0.387,14,销售,否
2023-06-24 00:00:00,10:23:47.217,102900005115946,0.352,6,销售,否
2023-06-24 00:00:00,10:27:06.319,102900051000944,0.285,26,销售,否
2023-06-24 00:00:00,10:27:33.208,102900005116714,0.466,14,销售,否
2023-06-24 00:00:00,10:27:35.105,102900011035078,0.29,20,销售,否
2023-06-24 00:00:00,10:28:14.687,102900011016701,0.194,5.2,销售,否
2023-06-24 00:00:00,10:28:15.108,102900011035078,0.22,20,销售,否
2023-06-24 00:00:00,10:29:22.253,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,10:29:24.121,102900005115250,0.167,24,销售,否
2023-06-24 00:00:00,10:29:52.28,102900011022764,0.293,12,销售,否
2023-06-24 00:00:00,10:29:56.826,102900011000328,0.231,10,销售,否
2023-06-24 00:00:00,10:30:17.686,102900005116257,0.722,6,销售,否
2023-06-24 00:00:00,10:30:20.53,102900011008164,0.581,5.2,销售,否
2023-06-24 00:00:00,10:30:44.826,102900011035740,1,5.8,销售,否
2023-06-24 00:00:00,10:30:45.86,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,10:31:33.936,106949711300259,1,2,销售,否
2023-06-24 00:00:00,10:31:40.373,102900005116899,0.451,16,销售,否
2023-06-24 00:00:00,10:31:47.186,102900011001691,0.33,14,销售,否
2023-06-24 00:00:00,10:32:04.186,102900011022764,0.443,12,销售,否
2023-06-24 00:00:00,10:32:12.164,102900005115786,0.455,4,销售,否
2023-06-24 00:00:00,10:32:12.375,102900011023464,0.795,5.2,销售,否
2023-06-24 00:00:00,10:32:12.796,102900011008164,0.678,5.2,销售,否
2023-06-24 00:00:00,10:32:55.717,102900011000328,0.271,10,销售,否
2023-06-24 00:00:00,10:33:07.236,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,10:33:07.42,102900005116257,0.453,6,销售,否
2023-06-24 00:00:00,10:33:11.061,102900005115786,0.379,4,销售,否
2023-06-24 00:00:00,10:33:39.597,102900005119975,0.285,6,销售,否
2023-06-24 00:00:00,10:33:49.912,102900005115946,0.352,6,销售,否
2023-06-24 00:00:00,10:33:52.951,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,10:34:29.936,106949711300259,1,2,销售,否
2023-06-24 00:00:00,10:35:08.983,102900005115786,0.404,4,销售,否
2023-06-24 00:00:00,10:35:24.284,102900011032022,1,2.8,销售,否
2023-06-24 00:00:00,10:35:58.451,102900005115786,0.328,4,销售,否
2023-06-24 00:00:00,10:36:27.468,102900011016701,0.252,5.2,销售,否
2023-06-24 00:00:00,10:40:15.48,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,10:40:16.514,102900011032251,1,3.9,销售,否
2023-06-24 00:00:00,10:40:16.553,102900011032848,1,4.8,销售,否
2023-06-24 00:00:00,10:41:58.293,102900005115786,0.379,4,销售,否
2023-06-24 00:00:00,10:41:58.516,102900011023464,0.213,5.2,销售,否
2023-06-24 00:00:00,10:42:43.487,102900005115762,0.455,4,销售,否
2023-06-24 00:00:00,10:46:54.661,102900005118817,0.365,14,销售,否
2023-06-24 00:00:00,10:46:54.882,102900005116714,0.387,14,销售,否
2023-06-24 00:00:00,10:46:55.097,102900005118824,0.52,16,销售,否
2023-06-24 00:00:00,10:48:23.602,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,10:48:50.217,102900005115762,0.581,4,销售,否
2023-06-24 00:00:00,10:49:38.978,102900005118817,0.365,14,销售,否
2023-06-24 00:00:00,10:49:41.28,102900011016701,0.775,5.2,销售,否
2023-06-24 00:00:00,10:49:46.093,102900005116899,0.288,16,销售,否
2023-06-24 00:00:00,10:50:16.592,102900005115786,0.328,4,销售,否
2023-06-24 00:00:00,10:50:20.701,102900005116714,0.279,14,销售,否
2023-06-24 00:00:00,10:53:01.487,102900011016701,0.368,5.2,销售,否
2023-06-24 00:00:00,10:53:27.358,102900005115762,0.556,4,销售,否
2023-06-24 00:00:00,10:53:34.625,102900005118831,1,6.8,销售,否
2023-06-24 00:00:00,10:53:59.92,102900011000328,0.372,10,销售,否
2023-06-24 00:00:00,10:55:13.12,102900011016701,0.504,5.2,销售,否
2023-06-24 00:00:00,10:55:39.608,102900005118831,1,6.8,销售,否
2023-06-24 00:00:00,10:56:02.749,102900011032848,1,4.8,销售,否
2023-06-24 00:00:00,10:56:23.515,102900005115786,0.505,4,销售,否
2023-06-24 00:00:00,10:57:42.545,102900005115762,0.631,4,销售,否
2023-06-24 00:00:00,10:57:43.875,102900005115786,0.404,4,销售,否
2023-06-24 00:00:00,10:58:33.17,102900011006948,0.636,12,销售,否
2023-06-24 00:00:00,10:58:33.778,102900011023464,0.659,5.2,销售,否
2023-06-24 00:00:00,10:58:34.017,102900011008164,0.368,5.2,销售,否
2023-06-24 00:00:00,10:58:34.706,102900011006948,0.502,12,销售,否
2023-06-24 00:00:00,10:58:34.934,102900011016701,0.31,5.2,销售,否
2023-06-24 00:00:00,10:58:46.842,102900005116257,0.604,6,销售,否
2023-06-24 00:00:00,10:59:37.174,102900005115786,0.328,4,销售,否
2023-06-24 00:00:00,11:00:01.256,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,11:00:36.461,102900011000328,0.201,10,销售,否
2023-06-24 00:00:00,11:00:36.664,102900011023464,0.233,5.2,销售,否
2023-06-24 00:00:00,11:02:41.365,102900005115762,0.455,4,销售,否
2023-06-24 00:00:00,11:03:04.895,102900011016701,0.426,5.2,销售,否
2023-06-24 00:00:00,11:03:33.549,102900005115908,0.738,6,销售,否
2023-06-24 00:00:00,11:03:39.65,102900011034026,0.515,14,销售,否
2023-06-24 00:00:00,11:03:58.03,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,11:04:00.686,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,11:05:27.704,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,11:05:28.358,102900011008164,0.426,5.2,销售,否
2023-06-24 00:00:00,11:05:59.905,102900005116257,0.571,6,销售,否
2023-06-24 00:00:00,11:06:04.498,102900011016701,0.426,5.2,销售,否
2023-06-24 00:00:00,11:07:13.733,102900011032251,1,3.9,销售,否
2023-06-24 00:00:00,11:08:08.17,102900011023464,0.581,5.2,销售,否
2023-06-24 00:00:00,11:08:58.139,102900005115786,0.429,4,销售,否
2023-06-24 00:00:00,11:09:40.708,102900011022764,0.443,12,销售,否
2023-06-24 00:00:00,11:09:41.106,102900005119975,0.52,6,销售,否
2023-06-24 00:00:00,11:09:41.445,102900005116714,0.437,14,销售,否
2023-06-24 00:00:00,11:10:16.073,102900005116509,1.091,6,销售,否
2023-06-24 00:00:00,11:10:24.455,102900005115786,0.455,4,销售,否
2023-06-24 00:00:00,11:10:28.987,102900011016701,0.368,5.2,销售,否
2023-06-24 00:00:00,11:11:17.318,102900011032848,1,4.8,销售,否
2023-06-24 00:00:00,11:12:51.536,102900005116714,0.401,14,销售,否
2023-06-24 00:00:00,11:14:55.841,102900011032343,0.197,19.8,销售,否
2023-06-24 00:00:00,11:14:56.457,102900011032343,0.147,19.8,销售,否
2023-06-24 00:00:00,11:15:33.398,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,11:16:38.621,102900011008164,0.291,5.2,销售,否
2023-06-24 00:00:00,11:20:12.118,102900005116899,0.251,16,销售,否
2023-06-24 00:00:00,11:20:19.528,102900005115250,0.263,24,销售,否
2023-06-24 00:00:00,11:20:24.622,102900005115250,0.234,24,销售,否
2023-06-24 00:00:00,11:20:35.131,102900011016701,0.136,5.2,销售,否
2023-06-24 00:00:00,11:21:15.766,102900011035078,0.225,20,销售,否
2023-06-24 00:00:00,11:21:16.387,102900005116899,0.526,16,销售,否
2023-06-24 00:00:00,11:21:16.596,102900005115762,0.505,4,销售,否
2023-06-24 00:00:00,11:22:53.126,102900011016701,0.426,5.2,销售,否
2023-06-24 00:00:00,11:23:00.405,102900005118824,0.194,16,销售,否
2023-06-24 00:00:00,11:24:27.342,102900005115250,0.38,24,销售,否
2023-06-24 00:00:00,11:24:32.8,102900005118817,0.394,14,销售,否
2023-06-24 00:00:00,11:25:14.936,102900011032022,1,2.8,销售,是
2023-06-24 00:00:00,11:26:29.686,102900005115786,0.328,4,销售,否
2023-06-24 00:00:00,11:28:27.15,102900005115786,0.682,4,销售,否
2023-06-24 00:00:00,11:28:28.198,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,11:28:28.609,102900011034026,0.501,14,销售,否
2023-06-24 00:00:00,11:29:25.02,102900011032022,1,2.8,销售,否
2023-06-24 00:00:00,11:30:53.197,102900011008164,0.562,5.2,销售,否
2023-06-24 00:00:00,11:31:08.377,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,11:31:48.608,102900011022764,0.351,12,销售,否
2023-06-24 00:00:00,11:32:05.255,102900011023464,0.465,5.2,销售,否
2023-06-24 00:00:00,11:33:46.299,102900005115762,0.429,4,销售,否
2023-06-24 00:00:00,11:33:46.5,102900005115762,0.404,4,销售,否
2023-06-24 00:00:00,11:34:28.227,102900005116257,0.352,6,销售,否
2023-06-24 00:00:00,11:34:29.823,102900005118831,1,6.8,销售,否
2023-06-24 00:00:00,11:34:29.997,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,11:34:31.049,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,11:34:45.502,102900005119975,0.285,6,销售,否
2023-06-24 00:00:00,11:34:55.974,102900011032848,1,4.8,销售,否
2023-06-24 00:00:00,11:34:56.349,102900005116257,1.057,6,销售,否
2023-06-24 00:00:00,11:36:04.888,102900011016701,0.31,5.2,销售,否
2023-06-24 00:00:00,11:36:06.393,102900005115250,0.1,24,销售,否
2023-06-24 00:00:00,11:36:07.487,102900005115762,0.48,4,销售,否
2023-06-24 00:00:00,11:36:14.67,102900005115762,0.53,4,销售,否
2023-06-24 00:00:00,11:36:32.465,102900011008164,0.581,5.2,销售,否
2023-06-24 00:00:00,11:39:08.297,102900005116714,0.437,14,销售,否
2023-06-24 00:00:00,11:39:08.69,102900005115250,0.092,24,销售,否
2023-06-24 00:00:00,11:39:13.706,102900005115786,0.354,4,销售,否
2023-06-24 00:00:00,11:40:25.457,102900005115908,0.671,6,销售,否
2023-06-24 00:00:00,11:41:44.187,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,11:43:02.425,102900005115250,0.113,24,销售,否
2023-06-24 00:00:00,11:44:02.748,102900005115762,0.631,4,销售,否
2023-06-24 00:00:00,11:44:48.748,102900005115908,0.42,6,销售,否
2023-06-24 00:00:00,11:44:55.726,102900005115762,0.455,4,销售,否
2023-06-24 00:00:00,11:45:13.602,106971533450003,1,3,销售,否
2023-06-24 00:00:00,11:49:02.221,106949711300259,1,1.2,销售,是
2023-06-24 00:00:00,11:49:09.329,102900011016701,0.271,5.2,销售,否
2023-06-24 00:00:00,11:53:09.908,106971533450003,1,3,销售,否
2023-06-24 00:00:00,11:53:10.085,106971533450003,1,3,销售,否
2023-06-24 00:00:00,11:57:35.132,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,12:00:57.929,106971533450003,1,1.8,销售,是
2023-06-24 00:00:00,12:00:58.045,102900011035078,0.165,20,销售,否
2023-06-24 00:00:00,12:02:01.033,102900011016701,0.271,5.2,销售,否
2023-06-24 00:00:00,12:02:26.827,102900011034330,1,5.5,销售,否
2023-06-24 00:00:00,12:02:47.36,102900005115250,0.38,24,销售,否
2023-06-24 00:00:00,12:02:47.975,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,12:02:48.169,102900005115786,0.354,4,销售,否
2023-06-24 00:00:00,12:04:05.488,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,12:04:05.679,102900011035078,0.21,20,销售,否
2023-06-24 00:00:00,12:04:05.896,102900011022764,0.293,12,销售,否
2023-06-24 00:00:00,12:04:06.326,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,12:06:02.858,102900011023464,0.698,5.2,销售,否
2023-06-24 00:00:00,12:06:49.733,102900005115786,0.328,4,销售,否
2023-06-24 00:00:00,12:06:53.28,102900011000328,0.482,10,销售,否
2023-06-24 00:00:00,12:07:35.155,102900011023464,0.233,5.2,销售,否
2023-06-24 00:00:00,12:07:35.379,102900005115823,0.302,8,销售,否
2023-06-24 00:00:00,12:07:36.001,102900005115786,0.328,4,销售,否
2023-06-24 00:00:00,12:11:44.74,102900005115762,0.455,4,销售,否
2023-06-24 00:00:00,12:11:45.581,102900005116509,0.487,6,销售,否
2023-06-24 00:00:00,12:11:47.746,102900011016701,0.388,5.2,销售,否
2023-06-24 00:00:00,12:11:47.959,102900005115786,0.328,4,销售,否
2023-06-24 00:00:00,12:15:39.561,102900005116509,0.453,6,销售,否
2023-06-24 00:00:00,12:17:01.53,102900051000944,0.72,26,销售,否
2023-06-24 00:00:00,12:18:28.749,102900011022764,0.477,12,销售,否
2023-06-24 00:00:00,12:18:28.98,102900011008164,0.349,5.2,销售,否
2023-06-24 00:00:00,12:18:57.561,102900005116714,0.466,14,销售,否
2023-06-24 00:00:00,12:27:30.081,102900005116257,0.822,6,销售,否
2023-06-24 00:00:00,12:27:31.828,102900005119975,0.369,6,销售,否
2023-06-24 00:00:00,12:32:17.595,102900005118817,0.344,14,销售,否
2023-06-24 00:00:00,12:34:01.623,102900011034330,1,5.5,销售,否
2023-06-24 00:00:00,12:34:14.123,102900011006948,0.502,12,销售,否
2023-06-24 00:00:00,12:34:21.17,102900005115250,0.413,24,销售,否
2023-06-24 00:00:00,12:35:38.672,102900005115823,0.352,8,销售,否
2023-06-24 00:00:00,12:36:18.959,106949711300259,1,2,销售,否
2023-06-24 00:00:00,12:36:19.462,102900011035740,1,3.5,销售,是
2023-06-24 00:00:00,12:36:19.7,102900011016701,0.252,5.2,销售,否
2023-06-24 00:00:00,12:42:11.253,102900005115786,0.404,4,销售,否
2023-06-24 00:00:00,12:45:13.787,102900011030097,1,4.5,销售,否
2023-06-24 00:00:00,12:58:32.164,102900005116257,0.285,6,销售,否
2023-06-24 00:00:00,12:58:32.376,102900005115823,0.339,8,销售,否
2023-06-24 00:00:00,13:00:20.139,102900011032022,1,2.8,销售,否
2023-06-24 00:00:00,13:04:10.811,102900011023464,0.407,5.2,销售,否
2023-06-24 00:00:00,13:04:52.951,102900005115786,0.152,4,销售,否
2023-06-24 00:00:00,13:07:42.238,102900011034026,0.551,14,销售,否
2023-06-24 00:00:00,13:12:16.281,102900005116714,0.401,14,销售,否
2023-06-24 00:00:00,13:12:16.502,102900011022764,0.276,12,销售,否
2023-06-24 00:00:00,13:17:34.253,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,13:27:41.193,102900005119975,0.302,6,销售,否
2023-06-24 00:00:00,13:31:16.701,102900005115786,0.379,4,销售,否
2023-06-24 00:00:00,13:33:47.436,102900005115823,0.314,8,销售,否
2023-06-24 00:00:00,13:34:30.311,102900011030110,1,5.8,销售,否
2023-06-24 00:00:00,13:34:55.998,102900011000328,0.251,10,销售,否
2023-06-24 00:00:00,13:40:43.79,102900005115250,0.288,24,销售,否
2023-06-24 00:00:00,13:46:00.342,102900005116509,0.453,6,销售,否
2023-06-24 00:00:00,13:46:25.733,102900011031926,1,3.8,销售,否
2023-06-24 00:00:00,13:46:28.295,106971533450003,1,3,销售,否
2023-06-24 00:00:00,13:47:52.927,102900005116509,0.52,6,销售,否
2023-06-24 00:00:00,14:00:00.665,102900011000328,0.221,10,销售,否
2023-06-24 00:00:00,14:13:13.85,102900011035078,0.2,20,销售,否
2023-06-24 00:00:00,14:26:59.699,102900005119975,0.487,6,销售,否
2023-06-24 00:00:00,14:27:00.354,102900005115908,0.386,6,销售,否
2023-06-24 00:00:00,14:27:50.217,102900011016701,0.31,5.2,销售,否
2023-06-24 00:00:00,14:27:53.67,102900005115250,0.217,24,销售,否
2023-06-24 00:00:00,14:43:06.28,102900011032251,1,3.9,销售,否
2023-06-24 00:00:00,14:43:08.623,102900011032022,1,2.8,销售,否
2023-06-24 00:00:00,14:45:37.588,102900011032251,1,3.9,销售,否
2023-06-24 00:00:00,14:45:38.483,102900005116509,0.52,6,销售,否
2023-06-24 00:00:00,14:48:08.342,102900011030059,1,4.5,销售,否
2023-06-24 00:00:00,14:48:08.771,102900011008164,0.64,5.2,销售,否
2023-06-24 00:00:00,14:48:14.26,102900011016701,0.213,5.2,销售,否
2023-06-24 00:00:00,14:50:38.902,102900011032022,1,2.8,销售,否
2023-06-24 00:00:00,14:50:56.487,102900005115250,0.138,24,销售,否
2023-06-24 00:00:00,14:53:10.896,102900005118831,1,6.8,销售,否
2023-06-24 00:00:00,14:53:11.279,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,14:53:11.476,102900011023464,0.446,5.2,销售,否
2023-06-24 00:00:00,15:03:10.389,102900005116257,0.52,6,销售,否
2023-06-24 00:00:00,15:03:16.701,102900005118824,0.558,16,销售,否
2023-06-24 00:00:00,15:05:58.896,102900011016701,0.155,5.2,销售,否
2023-06-24 00:00:00,15:08:33.663,102900005115762,0.429,4,销售,否
2023-06-24 00:00:00,15:08:33.874,106949711300259,1,2,销售,否
2023-06-24 00:00:00,15:09:09.131,102900011000328,0.251,10,销售,否
2023-06-24 00:00:00,15:09:11.311,102900005118831,1,6.8,销售,否
2023-06-24 00:00:00,15:16:04.844,102900011022764,0.518,12,销售,否
2023-06-24 00:00:00,15:17:47.405,102900011000328,0.291,10,销售,否
2023-06-24 00:00:00,15:18:02.975,102900011001691,0.881,14,销售,否
2023-06-24 00:00:00,15:18:03.19,102900011007969,0.24,9.2,销售,否
2023-06-24 00:00:00,15:18:58.466,102900011032251,1,3.9,销售,否
2023-06-24 00:00:00,15:23:49.871,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,15:23:50.486,102900005116257,0.671,6,销售,否
2023-06-24 00:00:00,15:23:51.341,102900011016701,0.349,5.2,销售,否
2023-06-24 00:00:00,15:29:41.522,102900011022764,0.309,12,销售,否
2023-06-24 00:00:00,15:32:22.984,102900011031100,1,5.8,销售,否
2023-06-24 00:00:00,15:39:08.404,102900011016701,0.291,5.2,销售,否
2023-06-24 00:00:00,15:39:45.889,102900011032251,1,3.9,销售,否
2023-06-24 00:00:00,15:39:46.076,102900005116899,0.382,16,销售,否
